hexagram_id,hexagram_name,phase_temporal,phase_bits,yao_key,pool_names,expression,tool_role,category,action,state_fidelity,megatron_head,voice_mode
1,The Creative,past,0,old yang,genesis_spark|voice_warmth|voice_subtlety,slot 1 stable_yin: chaos=0.113 whimsy=0.262 darkTone=0.103 coherence=0.857 voiceWeight=0.832,codegen,sovereign,ASSERT,0.5693,head_hex_01,idle
1,The Creative,present,1,old yang,genesis_spark|voice_warmth|voice_subtlety,slot 1 stable_yin: chaos=0.113 whimsy=0.262 darkTone=0.103 coherence=0.857 voiceWeight=0.832,codegen,sovereign,ASSERT,0.5637,head_hex_01,idle
1,The Creative,future,2,old yang,genesis_spark|voice_warmth|voice_subtlety,slot 1 stable_yin: chaos=0.113 whimsy=0.262 darkTone=0.103 coherence=0.857 voiceWeight=0.832,codegen,sovereign,ASSERT,0.5637,head_hex_01,idle
1,The Creative,transition,3,old yang,genesis_spark|voice_warmth|voice_subtlety,slot 1 stable_yin: chaos=0.113 whimsy=0.262 darkTone=0.103 coherence=0.857 voiceWeight=0.832,codegen,sovereign,ASSERT,0.5389,head_hex_01,idle
1,The Creative,resolution,4,old yang,genesis_spark|voice_warmth|voice_subtlety,slot 1 stable_yin: chaos=0.113 whimsy=0.262 darkTone=0.103 coherence=0.857 voiceWeight=0.832,codegen,sovereign,ASSERT,0.5461,head_hex_01,idle
1,The Creative,dissolution,5,old yang,genesis_spark|voice_warmth|voice_subtlety,slot 1 stable_yin: chaos=0.113 whimsy=0.262 darkTone=0.103 coherence=0.857 voiceWeight=0.832,codegen,sovereign,ASSERT,0.5112,head_hex_01,idle
1,The Creative,crystallization,6,old yang,genesis_spark|voice_warmth|voice_subtlety,slot 1 stable_yin: chaos=0.113 whimsy=0.262 darkTone=0.103 coherence=0.857 voiceWeight=0.832,codegen,sovereign,ASSERT,0.5389,head_hex_01,idle
1,The Creative,void,7,old yang,genesis_spark|voice_warmth|voice_subtlety,slot 1 stable_yin: chaos=0.113 whimsy=0.262 darkTone=0.103 coherence=0.857 voiceWeight=0.832,codegen,sovereign,ASSERT,0.5589,head_hex_01,idle
1,The Creative,past,0,old yang,genesis_spark|voice_warmth|voice_subtlety,slot 1 stable_yin: chaos=0.113 whimsy=0.262 darkTone=0.103 coherence=0.857 voiceWeight=0.832,codegen,sovereign,ASSERT,0.5693,head_hex_01,idle
1,The Creative,present,1,old yang,genesis_spark|voice_warmth|voice_subtlety,slot 1 stable_yin: chaos=0.113 whimsy=0.262 darkTone=0.103 coherence=0.857 voiceWeight=0.832,codegen,sovereign,ASSERT,0.5637,head_hex_01,idle
